	Hunmong	mongeum
扛	멜	가ᇰ
擔	멜	담
@	멜	햐ᇰ
拂	ᄡᅳᆯ	불
拭	ᄡᅳᆯ	식
搵	쓰슬	온
揩	쓰슬	ᄀᆡ
負	질	부
戴	일	ᄃᆡ
馱	시를	타
載	시를	ᄌᆡ
擠	밀와들	졔
拶	ᄎᆡᆨᄎᆡᆨᄒᆞᆯ	찰
排	버릴	ᄇᆡ
挨	미질	애
吾	나	오
我	나	아
予	나	여
俺	나	암
咱	나	자
自	스스로	ᄌᆞ
他	뎌	타
彼	뎌	피
誰	뉘	슈
孰	뉘	슉
伊	저	이
某	아못	모
你	너	니
恁	너	님
汝	너	ᅀᅧ
爾	너	ᅀᅵ
儕	벋	졔
@	물	ᄇᆡ
廝	브릴	싀
每	물	ᄆᆡ
寃	셜울	원
讎	원슛	슈
仇	원슈	구
敵	ᄀᆞᆯ올	뎍
偸	도ᄌᆞᆨᄒᆞᆯ	투
竊	일워ᅀᆞᆯ	졀
攘	아ᅀᆞᆯ	ᅀᅣᆼ
奪	아ᅀᆞᆯ	탈
搶	후릴	차ᇰ
掠	후릴	략
俘	사ᄅᆞ자ᄇᆞᆯ	부
馘	귀 버힐	괵
聖	셔ᇰᅀᅵᆫ	셔ᇰ
賢	어딜	현
廉	쳐ᇰ렴	렴
哲	ᄉᆞᄆᆞᆺ 알	텰
豪	어딜	호
傑	ᄌᆡ조 노ᄑᆞᆯ	걸
俊	어딜	쥰
乂	다ᄉᆞᆯ	예
仁	클	ᅀᅵᆫ
慈	ᄌᆞ비로읠	ᄌᆞ
信	미들	신
義	마ᄌᆞᆯ	의
忠	튜ᇰ뎌ᇰ	튜ᇰ
恕	ᄆᆞᅀᆞᆷ	져
孝	효도	효
悌	아ᅀᆞ로읠	뎨
誠	졍셔ᇱ	셔ᇰ
敬	고ᇰ겨ᇱ	겨ᇰ
貞	고ᄃᆞᆫ	뎌ᇰ
烈	ᄆᆡ올	렬
恭	온고ᇱ	고ᇰ
讓	ᄉᆞ야ᇰ	ᅀᅣᆼ
謹	삼갈	근
慧	여ᇰ노ᄒᆞᆯ	혜
剛	구들	가ᇰ
悍	욷거울	한
勇	ᄂᆞᆯ날	요ᇰ
智	디혯	디
强	힘셀	가ᇰ
猛	ᄆᆡ올	ᄆᆡᇰ
暴	모딜	포
武	ᄆᆡ올	무
尊	존ᄒᆞᆯ	존
卑	ᄂᆞᆺ가올	비
貴	귀ᄒᆞᆯ	귀
賤	쳔ᄒᆞᆯ	쳔
壽	목숨	슈
夭	주글	요
貧	가난ᄒᆞᆯ	빈
富	가ᅀᆞ멸	부
姿	야ᇰᄌᆞᆺ	ᄌᆞ
態	야ᇰᄌᆞᆺ	ᄐᆡ
蹤	자최	죠ᇰ
跡	자최	젹
進	나ᅀᆞᆯ	진
退	므를	퇴
儀	거도ᇰ	의
度	법돗	도
拜	절	ᄇᆡ
揖	읍ᄒᆞᆯ	읍
稽	니마조ᅀᆞᆯ	계
頓	니마조ᅀᆞᆯ	돈
拱	고ᄌᆞᆯ	고ᇰ
叉	거릴	차
跪	ᄭᅮᆯ	궤
跽	ᄭᅮᆯ	긔
行	녈	ᄒᆡᇰ
步	거름	보
坐	안ᄌᆞᆯ	좌
立	셜	립
俯	구블	부
仰	울월	아ᇰ
臥	누을	와
起	닐	긔
踐	ᄇᆞᆯ올	쳔
踏	ᄇᆞᆯ올	답
跐	즐ᄇᆞᆯ올	채
跑	ᄃᆞᄅᆞᆯ	포
蹲	줏그릴	준
距	줏구릴	거
跣	발바ᄉᆞᆯ	션
踣	업드를	븍
蹺	ᄒᆞᆫ 발 들	교
跬	ᄒᆞᆫ 발 옴길	규
蹶	거틸	궐
跌	거텨딜	딜
踴	봄놀	요ᇰ
躍	봄놀	약
跳	ᄠᅱ놀	됴
趯	ᄠᅱ놀	텩
窺	엿볼	규
覘	엿볼	뎜
顧	도라볼	고
看	볼	간
見	볼	견
視	볼	시
瞻	볼	쳠
覿	볼	뎍
覩	볼	도
覯	볼	구
覽	볼	람
觀	볼	관
瞰	볼	감
眺	볼	됴
瞬	눈 ᄀᆞᆷᄌᆞ길	슌
瞑	눈 ᄀᆞᄆᆞᆯ	며ᇰ
聾	귀 머글	로ᇰ
聵	귀 머글	훼
聰	귀 ᄇᆞᆯ글	초ᇰ
@	귀 울	호ᇰ
聽	드를	텨ᇰ
䎸	드를	오
聞	드를	문
聆	드를	려ᇰ
談	말ᄉᆞᆷ	담
話	말ᄉᆞᆷ	회
言	말ᄉᆞᆷ	언
語	말ᄉᆞᆷ	어
謇	말 구들	건
吃	혀 더틀	걸
訒	말 구들	ᅀᅵᆫ
訥	말구디ᄒᆞᆯ	눌
諫	간ᄒᆞᆯ	간
諍	간ᄒᆞᆯ	ᄌᆡᇰ
訐	허믈니ᄅᆞᆯ	알
訕	헐ᄲᅳ릴	산
說	니ᄅᆞᆯ	셜
謊	거즛말	화ᇰ
誘	달앨	유
訹	달앨	튤
諂	아다ᇰᄒᆞᆯ	텸
諛	아다ᇰᄒᆞᆯ	유
佞	말 잘ᄒᆞᆯ	녀ᇰ
辯	말 잘ᄒᆞᆯ	변
是	올ᄒᆞᆯ	시
非	욀	비
枉	구블	와ᇰ
直	고들	딕
謗	헐ᄲᅳ릴	바ᇰ
讟	헐ᄲᅳ릴	독
毁	헐ᄲᅳ릴	훼
譽	기릴	예
譏	비우ᅀᅳᆯ	긔
誚	구지즐	쵸
譴	허믈ᄒᆞᆯ	견
謮	구지즐	ᄎᆡᆨ
讒	하솟그릴	참
譖	하솟그릴	ᄎᆞᆷ
訴	할	소
告	고ᄒᆞᆯ	고
贓	자ᇰ믈	자ᇰ
證	마초ᄧᅳᆯ	즈ᇰ
誣	거즛	무
覈	마촐	ᄒᆡᆨ
黥	피조ᅀᆞᆯ	경
劓	고 버힐	의
剕	발 버힐	비
刖	발버힐	월
罪	허믈	죄
辜	죄	고
罰	죄줄	벌
謫	죄줄	뎍
打	틸	타
拷	틸	고
捶	틸	ᄎᆒ
撻	틸	달
趕	ᄧᅩ츨	한
逐	조ᄎᆞᆯ	튝
黜	내조츨	튤
斥	내틸	쳑
奸	간곡ᄒᆞᆯ	간
詐	간곡ᄒᆞᆯ	사
狡	간곡ᄒᆞᆯ	교
猾	간곡ᄒᆞᆯ	활
慳	앗길	간
悋	앗길	린
靳	븓 질긜	근
嗇	븓 질긜	ᄉᆡᆨ
懦	나ᄒᆞᇀ	나
弱	ᅀᅣᆨᄒᆞᆯ	ᅀᅣᆨ
迷	미혹ᄒᆞᆯ	미
劣	미혹ᄒᆞᆯ	렬
饕	탐ᄒᆞᆯ	도
餮	탐ᄒᆞᆯ	텰
貪	탐ᄒᆞᆯ	탐
婪	탐ᄒᆞᆯ	람
嬾	게으를	란
惰	게으를	타
懈	게으를	ᄒᆡ
怠	게으를	ᄐᆡ
愚	어릴	우
騃	어릴	애
癡	어릴	티
憨	어릴	함
好	됴ᄒᆞᆯ	호
@	사오나올	대
善	됴ᄒᆞᆯ	션
惡	모딜	악
能	어딜	느ᇰ
否	몯ᄒᆞᆯ	부
淑	됴ᄒᆞᆯ	슉
慝	사오나올	특
德	큰	덕
行	ᄒᆡᇰ뎍	ᄒᆡᇰ
學	ᄇᆡ올	ᄒᆞᆨ
業	일ᄒᆞᆯ	업
才	ᄌᆡ좃	ᄌᆡ
術	ᄌᆡ좃	슐
技	ᄌᆡ조	기
藝	ᄌᆡ조	예
職	벼술	직
任	맛ᄯᆞᆯ	ᅀᅵᆷ
資	부를	ᄌᆞ
級	서흐레	급
功	고ᇰ붓	고ᇰ
勣	고ᇰ노	젹
勳	고ᇰ노	훈
勩	잇블	예
刑	혀ᇰ벌	혀ᇰ
政	져ᇰᄉᆞᆺ	져ᇰ
事	일	ᄊᆞ
務	힘ᄡᅳᆯ	무
嚴	엄엄ᄒᆞᆯ	엄
威	위엄	위
恩	은혯	은
惠	은혯	혜
統	거느릴	토ᇰ
御	거느릴	어
攝	잡쥘	셥
理	다ᄉᆞ릴	리
撫	ᄆᆞᆫ질	무
恤	어엿블	휼
賑	쥐칠	진
濟	거느릴	졔
講	가ᇰᄒᆞᆯ	가ᇰ
誨	ᄀᆞᄅᆞ칠	회
敎	ᄀᆞᄅᆞ칠	교
訓	ᄀᆞᄅᆞ칠	훈
習	ᄇᆡ홀	습
諷	외올	푸ᇰ
誦	외올	쇼ᇰ
盟	ᄆᆡᇰ셧	ᄆᆡᇰ
誓	ᄆᆡᇰ솃	셰
@	바ᇰ법ᄒᆞᆯ	염
禳	야ᇰᄌᆡᄒᆞᆯ	야ᇰ
祈	빌	긔
禱	빌	도
讚	기릴	찬
頌	기릴	쇼ᇰ
謳	놀애	구
謠	놀애	요
吟	이플	음
嘯	ᄑᆞ람	쇼
問	무를	문
訊	무를	신
詞	말ᄉᆞᆷ	ᄉᆞ
訟	구의ᄒᆞᆯ	쇼ᇰ
嬖	ᄉᆞ라ᇰᄒᆞᆯ	폐
寵	ᄉᆞ라ᇰᄒᆞᆯ	툐ᇰ
姬	겨집	희
姜	겨집	가ᇰ
偎	ᄉᆞ라ᇰᄒᆞᆯ	외
愛	ᄃᆞᅀᆞᆯ	ᄋᆡ
矜	에엿블	그ᇰ
憐	에엿블	련
皴	ᄡᅵᇰ긜	쥰
皺	ᄡᅵᇰ긜	추
蚩	구즐	치
醜	더러울	ᄎᆔ
丰	푸ᇰᄎᆡ날	보ᇰ
艶	고을	염
嬌	얼울	교
姸	고을	연
伉	ᄀᆞᆯ올	하ᇰ
儷	ᄀᆞᆯ올	례
雙	두	솨ᇰ
對	ᄧᅡᆨ	ᄃᆡ
孑	ᄒᆞᆫ ᄑᆞᆯ 업슬	혈
隻	외ᄧᅡᆨ	쳑
孤	외로욀	고
獨	호을	독
一	ᄒᆞᆫ	일
壹	올	일
二	두	ᅀᅵ
貳	버글	ᅀᅵ
三	석	삼
四	넉	ᄉᆞ
五	다ᄉᆞᆺ	오
六	여슷	륙
七	닐굽	칠
八	여듧	팔
九	아홉	구
十	열	십
百	온	ᄇᆡᆨ
千	즈믄	쳔
萬	일만	만
億	억	억
分	ᄂᆞᆫ홀	분
兩	두	랴ᇰ
寸	ᄆᆞᄃᆡ	촌
斤	ᄂᆞᆯ	근
担	셤	단
托	바ᄅᆞᆷ	탁
咫	여듧 치	지
坼	ᄒᆞᆫ봄	ᄐᆡᆨ
左	욀	좌
右	올ᄒᆞᆯ	우
前	앏	젼
後	뒤	후
遐	멀	하
遠	멀	원
近	갓가올	근
邇	갓가올	ᅀᅵ
上	마ᄃᆡ	샤ᇰ
下	아래	하
內	안	ᄂᆡ
外	밧	외
中	가온ᄃᆡᆺ	듀ᇰ
間	슷	간
衷	솝	튜ᇰ
裏	솝	리
烟	ᄂᆡ	연
火	블	화
焚	브틀	분
燒	ᄉᆞᆯ	쇼
燄	븟곳	염
炸	븟벼록	자
煻	노을압	다ᇰ
煨	노을압	외
燬	블 브틀	훼
爇	블 브틀	셜
燎	블 브틀	료
燹	블 브틀	션
燼	블 님글	신
炷	븟 나올	주
灰	ᄌᆡ	회
炲	그ᅀᅳ름	ᄐᆡ
洚	큰믈	가ᇰ
水	믈	슈
瀰	ᄀᆞᄃᆞᆨᄒᆞᆯ	미
漫	펴딜	만
漲	한믈딜	탸ᇰ
濫	넘ᄯᅵᆯ	람
淹	ᄌᆞᄆᆞᆯ	엄
溺	ᄌᆞᄆᆞᆯ	닉
渾	얼읠	호
淪	얼읠	륜
汪	믈 너블	와ᇰ
濊	믈 너블	예
泯	스믤	민
滅	ᄢᅥ딜	멸
終	ᄆᆞᄎᆞᆷ	죠ᇰ
極	ᄀᆞ재	극
