	Hunmong	mongeum
蠏	게〯	ᄒᆡ
蠣	굴〮	려〯
蟶	가리〮맏〮	뎌ᇰ
鰕	새요	하
𧵅	쟈개	파〯
蚌	ᄉᆡᇰ포	바ᇰ〯
鰒	ᄉᆡᇰ포	박
蛤	죠개	합〮
蜊	죠개	리
蜃	죠개	슌〯
𧖙	가막죠개	현〯
鯨	고래	겨ᇰ
鯢	고래	예
鰱	련어	련
魴	바ᇰ어	바ᇰ
鰻	ᄇᆡ얌댜ᇰ어	만
鱺	ᄇᆡ얌댜ᇰ어	리
鰍	믯구리〮	츄
鱔	드렁허리	션
鮒	부〯어	부〯
鯽	부어	즉
鱖	소가〮리〮	궐〮
鰳	쥰〯티	륵〮
鯔	슈〯어	츼
鰷	ᄇᆡ어	됴
鯖	비욷	쳐ᇰ
鱧	가모〮티	례
魺	복	하
魨	복	돈
鮎	메유기〮	념
鰋	메유기〮	언〯
鯊	사ᇰ엇	사
鱸	로어	로
鯼	조긔〮	조ᇰ
鯉	리〯어	리〯
蜘	거믜	디
蛛	거믜	듀
蚇	자재	쳑
蠖	자재	확
蛉	ᄌᆞᆫ자리	려ᇰ
蛚	ᄌᆞᆫ자리	렬
蜻	ᄌᆞᆫ자리	쳐ᇰ
蜓	ᄌᆞᆫ자리	뎌ᇰ
蠨	ᄀᆞᆯ거믜	쇼
蛸	ᄀᆞᆯ거믜	쇼
蟢	ᄀᆞᆯ거믜	희
螯	가재	오
蛺	나ᄇᆡ	협
蝶	나ᄇᆡ	뎝
蛾	나ᄇᆡ	아
螢	반도	혀ᇰ
蚯	거ᅀᅱ	구
蚓	거ᅀᅱ	인
蛐	거ᅀᅱ	곡
蟮	거ᅀᅱ	션
蠐	굼버ᇰ이	졔
螬	굼버ᇰ이	조
蝸	ᄃᆞᆯ파ᇰ이	과
蠅	ᄑᆞ리	스ᇰ
蛇	ᄇᆡ얌	샤
蟒	구려ᇰ이	마ᇰ
虺	독샤	훼
蝮	독샤	복
蠆	젼길	태
蠍	젼갈	헐
蚊	모긔	문
虻	드ᇰ의	ᄆᆡᇰ
𧑓	쥐며느리	셔
蝜	쥐며느리	부
蛜	쥐며느리	이
蝛	쥐며느리	위
蠷	그르메너흐리	구
螋	그르메너흐리	수
蜣	ᄆᆞᆯᄯᅩᇰ구으리	가ᇰ
蜋	ᄆᆞᆯᄯᅩᇰ구으리	랴ᇰ
蟼	머구리	겨ᇰ
黽	머구리	며ᇰ
蛙	머구리	와
蟈	머구리	국
蜩	ᄆᆡ야미	됴
蟬	ᄆᆡ야미	션
螓	ᄆᆡ야미	진
螗	ᄆᆡ야미	다ᇰ
蚰	지차리	유
蜒	지차리	연
蚕	누에	ᄌᆞᆷ
蛹	본도기	요ᇰ
蝙	ᄇᆞᆰ쥐	편
蝠	ᄇᆞᆰ지	복
螳	다ᇰ의야지	다ᇰ
螂	다ᇰ의야지	라ᇰ
螻	도로래	루
蛄	도로래	고
蟫	반대좀	담
螕	진뒤	비
蜈	지네	오
